iter	RMSE
0	0.6534362612
1	0.6510498023
2	0.6490260476
3	0.6472898758
4	0.6458758131
5	0.6443999365
6	0.6431714091
7	0.6418688574
8	0.6407758064
9	0.6398622071
10	0.638905358
11	0.6380894558
12	0.6373231249
13	0.6367480896
14	0.636220562
15	0.6356417555
16	0.6350342246
17	0.6345956927
18	0.6341774752
19	0.6337272917
20	0.6332648513
21	0.6329034719
22	0.6325829157
23	0.6322541814
24	0.6319459992
25	0.6317142552
26	0.6313456886
27	0.6310637196
28	0.630807032
29	0.6305273508
30	0.6302520044
31	0.6300802853
32	0.6297766099
33	0.6294866585
34	0.6293411955
35	0.6291376076
36	0.6289042479
37	0.6287121693
38	0.628507109
39	0.6283280678
40	0.62813137
41	0.627959245
42	0.6278416344
43	0.6277817624
44	0.6276215088
45	0.6274464007
46	0.6272678305
47	0.6270709839
48	0.6269290301
49	0.6267401594
50	0.6265987064
51	0.6264559101
52	0.626330589
53	0.6261852483
54	0.6260333688
55	0.6257825817
56	0.6256432266
57	0.6255593928
58	0.6253751822
59	0.6252028839
60	0.625094258
61	0.6249489215
62	0.6247858238
63	0.62462941
64	0.6245151954
65	0.6243644827
66	0.6242296661
67	0.6240606224
68	0.6240053582
69	0.6238456157
70	0.6237154231
71	0.6236098261
72	0.6234418649
73	0.6233620947
74	0.6233277274
75	0.6231861812
76	0.6231290016
77	0.622998043
78	0.622907356
79	0.6228445992
80	0.6226180086
81	0.6224445629
82	0.622394465
83	0.6222867475
84	0.6222748351
85	0.6221601415
86	0.6220577301
87	0.6219301346
88	0.62178129
89	0.6216872663
90	0.6216100982
91	0.6215118541
92	0.6213919445
93	0.6212983944
94	0.6211966333
95	0.6210836656
96	0.6210164261
97	0.620962439
98	0.6208786211
99	0.6208064959
100	0.6207451829
101	0.6205967671
102	0.6205413604
103	0.6204159404
104	0.6202678333
105	0.6202117717
106	0.6200796026
107	0.6199778453
108	0.6198541624
109	0.6197445452
110	0.6196623483
111	0.6196187054
112	0.6195091629
113	0.6193635897
114	0.6192574693
115	0.6191797034
116	0.6191324542
117	0.6190912393
118	0.6190067374
119	0.6188567828
120	0.618794116
121	0.618769104
122	0.6186675667
123	0.6185415686
124	0.6185351898
125	0.6184635831
126	0.6183603842
127	0.6182469937
128	0.618166634
129	0.6180542459
130	0.6179405695
131	0.61781372
132	0.6177132767
133	0.6175384665
134	0.6174604584
135	0.6173854626
136	0.6172622515
137	0.6171489458
138	0.6170548455
139	0.6170483173
140	0.6169416582
141	0.616863813
142	0.616817183
143	0.6166527534
144	0.6166095724
145	0.6165186427
146	0.616375449
147	0.6162662649
148	0.6161517481
149	0.6160892117
150	0.6160807576
151	0.6159937931
152	0.6158560203
153	0.6157195049
154	0.6155875333
155	0.6154678219
156	0.6154509739
157	0.6153049586
158	0.615254257
159	0.6151374061
160	0.6149714863
161	0.6149476319
162	0.6147692859
163	0.6145964749
164	0.6144735834
165	0.6143759684
166	0.6142111259
167	0.614043766
168	0.6138974726
169	0.6138522256
170	0.6138025693
171	0.6137619231
172	0.6136512308
173	0.6135101674
174	0.6134817099
175	0.6132592389
176	0.6130980617
177	0.613065322
178	0.6129372281
179	0.6127465924
180	0.6127289343
181	0.612610431
182	0.6124403986
183	0.612412099
184	0.6123767439
185	0.6122008506
186	0.6120499181
187	0.6119126374
188	0.6117667656
189	0.6115529437
190	0.6114951142
191	0.6113556535
192	0.6111991253
193	0.6111858162
194	0.6111742157
195	0.6111635732
196	0.6110158021
197	0.610990939
198	0.6108573434
199	0.6107299752
200	0.61051377
201	0.6103577158
202	0.6102567056
203	0.6100601063
204	0.6098755915
205	0.6097636928
206	0.6096364772
207	0.6094929143
208	0.6093925242
209	0.609278177
210	0.6091526963
211	0.609000739
212	0.6088889679
213	0.6087545061
214	0.6086545062
215	0.608463083
216	0.608381119
217	0.6082908957
218	0.6081194153
219	0.6081042674
220	0.6079524548
221	0.6078532195
222	0.6077192573
223	0.6076293649
224	0.6075231728
225	0.6073402775
226	0.6071987211
227	0.6070113618
228	0.6068995979
229	0.6067981974
230	0.6066796408
231	0.6066704572
232	0.6065717439
233	0.6064463428
234	0.6064359626
235	0.6063016205
236	0.6062885618
237	0.6061027524
238	0.6059579955
239	0.6058512284
240	0.605841201
241	0.6057710962
242	0.6056862984
243	0.6055344533
244	0.605413323
245	0.605328984
246	0.6052242975
247	0.6050627175
248	0.6049380655
249	0.6047986984
250	0.6046848292
251	0.6045457322
252	0.6044528671
253	0.6043001902
254	0.604217092
255	0.6041042655
256	0.6040440824
257	0.6039362884
258	0.6038107776
259	0.6036756083
260	0.6035572972
261	0.603414978
262	0.6032907604
263	0.6032563909
264	0.6031563496
265	0.6030462177
266	0.6029250461
267	0.6028013322
268	0.6027571767
269	0.6026948689
270	0.6026084814
271	0.6024813683
272	0.602369416
273	0.6022659777
274	0.6021689225
275	0.6020555938
276	0.6020456605
277	0.6019449212
278	0.601832371
279	0.6017390252
280	0.6016676474
281	0.6015480801
282	0.6014274601
283	0.6014182404
284	0.601290185
285	0.6011771441
286	0.6011684888
287	0.6011475952
288	0.6010736815
289	0.6009459674
290	0.6008122772
291	0.6008050046
292	0.600798242
293	0.6007905592
294	0.6006903906
295	0.6006112213
296	0.6005257381
297	0.6003995414
298	0.6002861663
299	0.6002225733
300	0.6001136421
301	0.5999883664
302	0.5999129196
303	0.5998154729
304	0.5996857805
305	0.5996169956
306	0.5996094051
307	0.5995328477
308	0.59941425
309	0.5992687286
310	0.5991275195
311	0.5990016146
312	0.5989812045
313	0.5988605229
314	0.598854147
315	0.5987114745
316	0.5986084776
317	0.5985095891
318	0.5983848893
319	0.5982905517
320	0.5981820869
321	0.5981287812
322	0.5981218092
323	0.5979935112
324	0.5978789293
325	0.5977832607
326	0.5977758415
327	0.5976621662
328	0.5975671157
329	0.5974159813
330	0.597291753
331	0.5972852617
332	0.5972137114
333	0.5972076744
334	0.5971284576
335	0.5969782289
336	0.5968456081
337	0.5967500462
338	0.5966068843
339	0.596485319
340	0.5964470708
341	0.5963532753
342	0.5962660251
343	0.5961738437
344	0.5960491264
345	0.5959139365
346	0.5958370583
347	0.5958027984
348	0.5957976393
349	0.5957134544
350	0.5956141421
351	0.5956079779
352	0.5955843637
353	0.5954556871
354	0.5953683028
355	0.5952451214
356	0.5951537882
357	0.5950504588
358	0.5950430655
359	0.5948972814
360	0.5948862836
361	0.5947503058
362	0.5947446651
363	0.5946946371
364	0.5946034465
365	0.5944580415
366	0.594425054
367	0.5943232333
368	0.5942456395
369	0.5941508973
370	0.5939899394
371	0.5938478039
372	0.5937795274
373	0.5936871791
374	0.5936172393
375	0.5935370453
376	0.5934168883
377	0.5932859558
378	0.5932814966
379	0.5931660544
380	0.593048884
381	0.5929784913
382	0.5928904092
383	0.592781032
384	0.5926633683
385	0.5926360707
386	0.5924659522
387	0.5923409267
388	0.5922386452
389	0.5921871129
390	0.5921378234
391	0.5921310903
392	0.5920393922
393	0.5919344738
394	0.5917912548
395	0.5916940342
396	0.5915858293
397	0.5915149221
398	0.5913405773
399	0.5912148766
400	0.5912012735
401	0.5910829065
402	0.5910096923
403	0.5908926112
404	0.5908453181
405	0.5907648503
406	0.5907605064
407	0.5906832068
408	0.5905848754
409	0.5904747973
410	0.5903862065
411	0.5903005939
412	0.5902008814
413	0.5900985733
414	0.590093139
415	0.5900210063
416	0.5900159807
417	0.5899653804
418	0.5898743055
419	0.5898110053
420	0.5897051457
421	0.5897002593
422	0.589695078
423	0.5896107302
424	0.5895348509
425	0.5894440671
426	0.5894402307
427	0.5893547495
428	0.5892891601
429	0.5892056033
430	0.5890651029
431	0.5889549161
432	0.5888554014
433	0.5887546043
434	0.5886754478
435	0.5885516498
436	0.5884514905
437	0.5883535948
438	0.5883104562
439	0.5882169733
440	0.5880945215
441	0.5880049595
442	0.5878913765
443	0.5877882736
