iter	Passed	Remaining
0	7	7621
1	16	8331
2	23	7898
3	32	8035
4	39	7791
5	47	7868
6	54	7775
7	63	7889
8	70	7752
9	78	7740
10	85	7714
11	92	7653
12	99	7576
13	106	7484
14	113	7435
15	119	7361
16	126	7341
17	133	7265
18	139	7218
19	146	7188
20	153	7145
21	160	7117
22	166	7079
23	173	7064
24	180	7037
25	188	7043
26	195	7029
27	201	6986
28	208	6982
29	214	6938
30	221	6929
31	227	6894
32	234	6876
33	241	6854
34	247	6815
35	253	6791
36	259	6764
37	266	6757
38	273	6737
39	280	6721
40	286	6690
41	292	6663
42	299	6663
43	305	6644
44	312	6638
45	319	6615
46	325	6605
47	333	6608
48	339	6587
49	346	6577
50	352	6556
51	359	6551
52	366	6545
53	372	6520
54	378	6509
55	384	6488
56	392	6487
57	398	6476
58	404	6458
59	412	6455
60	418	6436
61	425	6432
62	432	6429
63	439	6421
64	446	6421
65	452	6403
66	459	6399
67	465	6385
68	473	6384
69	479	6371
70	486	6359
71	492	6348
72	499	6340
73	506	6334
74	512	6323
75	520	6323
76	526	6316
77	534	6313
78	540	6306
79	547	6291
80	553	6284
81	560	6271
82	567	6269
83	573	6254
84	579	6242
85	586	6234
86	592	6221
87	599	6217
88	606	6204
89	613	6200
90	619	6187
91	626	6184
92	633	6178
93	639	6165
94	646	6154
95	652	6143
96	659	6138
97	666	6130
98	672	6120
99	679	6115
100	685	6101
101	693	6101
102	699	6091
103	705	6080
104	711	6068
105	717	6054
106	725	6050
107	731	6041
108	737	6030
109	743	6019
110	750	6009
111	757	6006
112	763	5995
113	770	5987
114	776	5974
115	782	5965
116	789	5959
117	795	5949
118	802	5940
119	808	5929
120	815	5924
121	822	5918
122	828	5907
123	835	5903
124	841	5892
125	848	5886
126	855	5880
127	862	5873
128	869	5869
129	875	5860
130	882	5857
131	889	5847
132	896	5841
133	902	5831
134	908	5821
135	915	5813
136	921	5803
137	928	5800
138	935	5792
139	941	5783
140	948	5779
141	954	5767
142	962	5765
143	968	5755
144	975	5751
145	981	5741
146	988	5734
147	995	5728
148	1001	5721
149	1009	5719
150	1015	5708
151	1022	5703
152	1028	5693
153	1034	5684
154	1041	5675
155	1047	5667
156	1054	5660
157	1060	5653
158	1067	5644
159	1073	5637
160	1080	5629
161	1087	5626
162	1094	5620
163	1101	5614
164	1108	5610
165	1115	5603
166	1122	5600
167	1129	5593
168	1136	5586
169	1142	5576
170	1149	5571
171	1155	5560
172	1161	5554
173	1168	5546
174	1174	5535
175	1181	5532
176	1187	5521
177	1194	5515
